X,Y
571,109
667,124
621,163
527,165
509,166
531,166
609,166
613,166
623,167
721,167
725,167
502,168
539,169
496,172
615,172
719,173
727,173
609,174
551,177
485,183
628,184
481,189
559,190
479,196
478,214
667,217
479,218
560,222
772,224
481,225
485,231
555,231
625,241
496,242
544,242
502,246
538,246
509,248
532,248
527,249
717,270
721,270
715,276
723,276
172,309
184,309
168,310
188,310
160,315
196,315
153,324
203,324
151,330
205,330
151,342
205,342
204,346
153,348
157,354
199,354
884,357
867,358
889,358
167,361
189,361
172,363
184,363
858,363
898,363
851,370
905,370
846,379
910,379
845,396
911,396
846,401
910,401
111,403
851,410
905,410
858,417
898,417
867,422
889,422
871,423
884,423
164,431
174,446
105,471
109,471
103,477
111,477
127,486
173,505
171,509
191,512
197,514
189,518
197,518
126,545
438,567
442,567
448,567
461,568
447,583
451,583
445,589
453,589
377,596
519,603
442,635
450,635
436,636
454,636
432,638
458,638
462,641
420,653
470,656
352,662
421,669
469,669
423,673
467,673
353,676
464,677
432,682
458,682
282,683
286,683
436,684
454,684
280,689
288,689
356,689
548,817
554,819
546,823
552,825
